Player	position	Team	conference	salary
"Scott Wood, SG"	SG	GoldenStateWarriors	western	0.543471
"Egidijus Mockevicius, PF"	PF	BrooklynNets	eastern	0.543471
"Rasheed Sulaimon, G"	G	CharlotteHornets	eastern	0.543471
"Andrew Andrews, G"	G	CharlotteHornets	eastern	0.543471
"Brady Heslip, SG"	SG	TorontoRaptors	eastern	0.543471
"Yanick Moreira, C"	C	TorontoRaptors	eastern	0.543471
"Isaiah Cousins, PG"	PG	SacramentoKings	western	0.543471
"Julian Jacobs, PG"	PG	LosAngelesLakers	western	0.543471
"J.P. Tokoto, SG"	SG	NewYorkKnicks	eastern	0.543471
"Maurice Ndour, SF"	SF	NewYorkKnicks	eastern	0.543471
"Thomas Walkup, SG"	SG	ChicagoBulls	eastern	0.543471
"Jalen Jones, SF"	SF	BostonCeltics	eastern	0.543471
"Richard Solomon, PF"	PF	AtlantaHawks	eastern	0.543471
"Jonathan Gibson, PG"	PG	DallasMavericks	western	0.469943
"Toney Douglas, PG"	PG	MemphisGrizzlies	western	0.379159
"Lamar Patterson, SG"	SG	AtlantaHawks	eastern	0.246956
"Andrew Bogut, C"	C	ClevelandCavaliers	eastern	0.242224
"Larry Sanders, PF"	PF	ClevelandCavaliers	eastern	0.207722
"Ray McCallum, PG"	PG	CharlotteHornets	eastern	0.121112
"Manny Harris, PG"	PG	DallasMavericks	western	0.115344
"Mike Tobey, C"	C	CharlotteHornets	eastern	0.067135
"Anthony Brown, SF"	SF	OrlandoMagic	eastern	0.057672
"Justin Harper, PF"	PF	Philadelphia76ers	eastern	0.057672
"Jarell Eddie, SG"	SG	PhoenixSuns	western	0.057672
"Alonzo Gee, SF"	SF	DenverNuggets	western	0.057672
"Jarrett Jack, PG"	PG	NewOrleansPelicans	western	0.057672
"Pierre Jackson, PG"	PG	DallasMavericks	western	0.031969
